상호,전화번호,대표자,소재지,지역구분,일반창고동수,일반창고면적,냉동냉장창고동수,냉동냉장창고면적,홈페이지,등록일자,토지정보주소
주식회사 딜리셔스,02-1661-1916,"김준호,정창한",경기도 남양주시 오남읍 진건오남로667번길 64-32,오남읍,2,1996,0,0,,2026-4-10,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136026223107070000
씨제이대한통운(주),010-3800-5604,"신영수, 민영학",경기도 남양주시 진접읍 남가로131번길 7-1,진접읍,1,3963.17,0,0,,2026-3-20,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025324103290005
남북물류(주),031-577-7272,김봉수,경기도 남양주시 와부읍 고래산로 91,와부읍,1,1350,0,0,,2025-9-10,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025024100660000
쿠팡로지스틱스서비스(유),1544-989-8,"이선승,홍용준,김정현,강현오",경기도 남양주시 오남읍 양지로 296,오남읍,2,1664.66,0,0,,2025-7-23,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136026221106620000
주식회사 블루로터스,02-3469-2423,"허인숙,장병강",경기도 남양주시 다산지금로123번안길 41,양정동,3,1736.73,0,0,,2025-7-1,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136010500106770000
쿠팡로지스틱스서비스(유),15-44-9898,"홍용준,김정현,강현오",경기도 남양주시 다산지금로145번안길 22,양정동,2,3454.48,0,0,,2025-4-21,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136010500106360000
쿠팡로지스틱스서비스 유한회사,1544-989-8,"김정현,홍용준,강현오",경기도 남양주시 진건읍 진관로 232,진건읍,2,1219.42,0,0,,2025-1-20,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025922105330000
쿠팡로지스틱스서비스(유),010-9631-1441,"홍용준,김정현,강현오","경기도 남양주시 화도읍 마치로 306, GS물류센타 3,4층",화도읍,1,3797.56,0,0,,2024-7-30,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025629104960089
쿠팡로지스틱스서비스(유),010-5133-2557,"홍용준,김정현,강현오","경기도 남양주시 화도읍 마치로 306, GS물류센타 1,2층",화도읍,1,2977.07,0,0,coupangls.modoo.at,2024-7-30,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025629104960089
주식회사 두핸즈 남양주지점,010-7355-3421,박찬재,"경기도 남양주시 수동면 지둔로 191, 오뚜기물류서비스 남양주안전물류센터 3층",수동면,1,5292.3,0,0,poomgo.com,2024-5-17,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136034021102660000
주식회사 컬리넥스트마일,070-4800-0335,이보영,경기도 남양주시 와부읍 석실로 349,와부읍,1,1794.15,0,0,https://www.kurlynextmile.com/,2024-4-2,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025021103650000
주식회사 로지스밸리,031-283-9910,김필립,경기도 남양주시 화도읍 마치로 306,화도읍,0,0,1,3567,,2024-3-25,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025629104960089
쿠팡로지스틱스서비스 유한회사,02-1544-9898,"홍용준,김정현,강현오","경기도 남양주시 화도읍 경춘로 2362, 아모레퍼시픽물류센터",화도읍,1,4199.01,0,0,,2024-3-19,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025626101990001
오뚜기물류서비스(주),031-284-4066,한태준,"경기도 남양주시 수동면 지둔로 191, 오뚜기물류서비스 남양주안전물류센터",수동면,2,16865.46,2,22860.7,,2024-1-16,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136034021102660000
씨제이대한통운 (주),031-960-6545,"신영수, 민영학","경기도 남양주시 진건읍 독정로성지2길 36, 1층",진건읍,1,1753,0,0,,2022-9-1,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025925100800005
쿠팡로지스틱스서비스 유한회사,02-6150-8309,"홍용준,김정현,강현오","경기도 남양주시 화도읍 재재기로149번길 57, B1, B2, 3, 4층",화도읍,1,37189.67,0,0,https://www.coupangls.com,2022-9-1,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025630104340006
쿠팡로지스틱스서비스 유한회사,02-6150-8309,"홍용준,김정현,강현오","경기도 남양주시 진접읍 금강로1281번길 24-1, 1,3층,지하1~3층",진접읍,1,17566.08,0,0,,2022-9-1,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025322100990005
쿠팡로지스틱스서비스 유한회사,02-6150-8309,"홍용준,김정현,강현오",경기도 남양주시 별내면 청학로 83,별내면,1,1927,0,0,https://www.coupangls.com,2022-9-1,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136031021104400000
씨제이대한통운(주),02-2046-9532,"신영수, 민영학",경기도 남양주시 진접읍 장현로 27,진접읍,1,2687.74,0,0,,2022-6-20,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025321106510000
씨제이대한통운,031-570-1356,"신영수, 민영학",경기도 남양주시 화도읍 재재기로 100-14,화도읍,1,1499,0,0,,2021-5-31,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025630102850000
씨제이대한통운(주),031-594-1213,"신영수, 민영학",경기도 남양주시 진접읍 진벌로 60,진접읍,2,3488,0,0,,2021-3-22,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025327105700002
씨제이대한통운(주),010-9352-9745,"신영수, 민영학",경기도 남양주시 진건읍 독정로231번길 38,진건읍,3,1339,0,0,,2020-9-4,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136025925101100006
씨제이대한통운(주),031-570-1354,"신영수, 민영학",경기도 남양주시 오남읍 양지로46번길 145,오남읍,2,1044,0,0,,2020-1-10,https://gris.gg.go.kr/map/main/grisMapView.do?pnu=4136026223107130001
